"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","1926"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""stain""] [tag=""N.*""] within < s/>"
"Reference","Left","KWIC","Right"
"friendsohc.org.uk","commemorates the second Christian Millennium and the beginning of the third. </s><s> Designed and made by Jude Tarrant of","Sunrise Stained Glass",", Southsea, Hampshire, the window is an exciting example of contemporary design in dramatic contrast with some of the"
"fancydress.com","an imaginative outfit, full of sadness and horror. </s><s> Bring some morbid horror to your Halloween night. </s><s> Product includes","blood stained skirt","and bustier. </s><s> Add some zombie make up to complete the look. </s><s> Hyundai Elite i20 vs Hyundai Santro </s><s> Any question on your mind"
"blorgy.net","it was raining. </s><s> And also for some reason my windscreen is never truly clear- no matter how much I clean it, its as clear as","shit stained glass","whenever cars on the opposite turn on their lights. </s><s> Especially those assholes with bright ass white HID lights, or"
"saintgermaindespres.org","century paintings. </s><s> Known also for its organ loft crafted by Germain Pilon, its remarkable Chasseriau murals and its","Renaissance stained glass","windows... </s><s> Nightlife </s><s> Black Dog offers a range of household items such as cups classics, mugs, pillows, dishes and"
"abcam.com","TV show! </s><s> I think I could really like these characters if I was ever able to watch Mag7 itself. </s><s> Latest Month </s><s> ICC/IF image of","ab7291 stained HeLa","cells. </s><s> The cells were 100% methanol fixed (5 min), permeabilized with 0.1% Triton X-100 for 5 minutes and then"
"poormagazine.org","death would never be sanctioned. </s><s> Tears dripped onto the blanket that I placed over her body. </s><s> I kissed her and covered her","blood stained head","; I froze, distraught at how many murders had been veiled under that one, corrupt word, negligence. </s><s> While the health of"
"ecclesiasticalandheritageworld.co.uk","several similar windows, has been carefully reassembled into a single two-light window typical of about 1530. </s><s> The","replica stained glass","shows two coats of arms. </s><s> On the left, the royal arms of Henry VIII show the Tudor crown at the top with the alternating"
"manisteemi.gov","BRA by the MDEQ to clean up contaminated soils under the building, remove old automotive service equipment, replace","oil stained floors","and demolish a portion of the building. </s><s> In addition to managing the grant work, the BRA also helped the new owner to"
"scicrunch.org","encountered in fine needle aspiration (FNA) cytological practice. </s><s> A 64-year-old Chinese male presenting with","blood stained sputum","and hoarseness of voice was discovered to have a 3 cm sized mass in the left lung. </s><s> Neither bronchial washings nor"
"nsw.gov.au","bin. </s><s> Please flatten all cardboard boxes. </s><s> Your paper and cardboard will not be accepted for collection if it contains","food stained paper","(such as pizza boxes), facial tissues, waxed paper, paper towels, or carbon paper. </s><s> Paper/cardboard milk and juice"
"delaespada.com","or black anodised aluminium. </s><s> Click on ''Materials'' in the left hand menu for further information. </s><s> Platform base is","black stained MDF","with holes for air circulation. </s><s> Assembly: Bretton Bed </s><s> NOTE 1: The Bretton legs are made from gravity die-cast"
"thefeministwire.com","Hindu Goddesses Laxshmi, Saraswati or Durga made to appear as if they have been subject to gender-based violence – with","tear stained faces",", open cuts and battered cheekbones. </s><s> But even despite (or because of?) the bruising around those divine eyes, the"
"nymuseums.com","was awaiting, filled with more Charles James Fashions, Sparely Illuminated, but Crowded with Press Photographers &","Ink Stained Scribes--Leaking","Ballpoints?--bumping into One Another in the Semi Darkness. </s><s> Actually, making Notes on a Paper Pad is now Passé, as"
"uspto.gov",", for 1 hour at 37.degree. </s><s> C.) in the following molar ratios: 1:10; 1:100; 1:1000; 1:10000. </s><s> Coomasie","blue stained SDS","polyacrylamide electrophoresis gels of the purified furin biosensors treated with furin are presented in FIG. 25 ("
"wusa9.com","inspiration for her custom-made cakes range from high-fashion dresses by Alexander McQueen and Carolina Herrera to","Tiffany stained glass",". </s><s> She has made a name for herself by the feminine frills, or ruffles and ornate flowers that are neatly adorned on her"
"vineryglass.com","to promote the dignity and human rights of Gaza residents, including the fundamental right to freedom of movement. </s><s> The","Vinery Stained Glass","Studio </s><s> About Us </s><s> Welcome to The Vinery, a stained glass studio that not only creates custom stained glass pieces, but"
"jumbletown.ie","few wipes and presto a clean mug again . So don''t ever throw out old lemon juice (citric acid , is it ? ) </s><s> Hi, You can also clean","tea stained cups","with bread soda, just dampen inside the cup then with a cloth rub round the inside, hey presto, staining gone. </s><s> No (it"
"marrowproductions.com","it''s catch head first against the ground with all the force and intent of smashing the kobold''s face against the rocky","blood stained street",".... </s><s> Samantha hesitates briefly as her ears twitch in mid-cut.. the black blade of one dagger halting inside the"
